title,text,label
Social media post sparks false panic about virus,Social media post sparks false panic about virus. This story has gone viral online but has been debunked by experts.,fake
Fake company promises free money to everyone,Fake company promises free money to everyone. This story has gone viral online but has been debunked by experts.,fake
Social media post sparks false panic about virus,Social media post sparks false panic about virus. This story has gone viral online but has been debunked by experts.,fake
Politician involved in shocking corruption case,Politician involved in shocking corruption case. This story has gone viral online but has been debunked by experts.,fake
Miracle cure for cancer discovered overnight,Miracle cure for cancer discovered overnight. This story has gone viral online but has been debunked by experts.,fake
Secret lab creates weather-controlling machine,Secret lab creates weather-controlling machine. This story has gone viral online but has been debunked by experts.,fake
Politician involved in shocking corruption case,Politician involved in shocking corruption case. This story has gone viral online but has been debunked by experts.,fake
Secret lab creates weather-controlling machine,Secret lab creates weather-controlling machine. This story has gone viral online but has been debunked by experts.,fake
Politician involved in shocking corruption case,Politician involved in shocking corruption case. This story has gone viral online but has been debunked by experts.,fake
Secret lab creates weather-controlling machine,Secret lab creates weather-controlling machine. This story has gone viral online but has been debunked by experts.,fake
Government hides truth about alien landing,Government hides truth about alien landing. This story has gone viral online but has been debunked by experts.,fake
Local resident finds UFO in backyard,Local resident finds UFO in backyard. This story has gone viral online but has been debunked by experts.,fake
Politician involved in shocking corruption case,Politician involved in shocking corruption case. This story has gone viral online but has been debunked by experts.,fake
Government hides truth about alien landing,Government hides truth about alien landing. This story has gone viral online but has been debunked by experts.,fake
Politician involved in shocking corruption case,Politician involved in shocking corruption case. This story has gone viral online but has been debunked by experts.,fake
Politician involved in shocking corruption case,Politician involved in shocking corruption case. This story has gone viral online but has been debunked by experts.,fake
Scientists confirm Earth is flat,Scientists confirm Earth is flat. This story has gone viral online but has been debunked by experts.,fake
Secret lab creates weather-controlling machine,Secret lab creates weather-controlling machine. This story has gone viral online but has been debunked by experts.,fake
Local resident finds UFO in backyard,Local resident finds UFO in backyard. This story has gone viral online but has been debunked by experts.,fake
Local resident finds UFO in backyard,Local resident finds UFO in backyard. This story has gone viral online but has been debunked by experts.,fake
Social media post sparks false panic about virus,Social media post sparks false panic about virus. This story has gone viral online but has been debunked by experts.,fake
Scientists confirm Earth is flat,Scientists confirm Earth is flat. This story has gone viral online but has been debunked by experts.,fake
Secret lab creates weather-controlling machine,Secret lab creates weather-controlling machine. This story has gone viral online but has been debunked by experts.,fake
Fake company promises free money to everyone,Fake company promises free money to everyone. This story has gone viral online but has been debunked by experts.,fake
Man claims to time travel using old car,Man claims to time travel using old car. This story has gone viral online but has been debunked by experts.,fake
Celebrity caught in massive scandal hoax,Celebrity caught in massive scandal hoax. This story has gone viral online but has been debunked by experts.,fake
Fake company promises free money to everyone,Fake company promises free money to everyone. This story has gone viral online but has been debunked by experts.,fake
Local resident finds UFO in backyard,Local resident finds UFO in backyard. This story has gone viral online but has been debunked by experts.,fake
Fake company promises free money to everyone,Fake company promises free money to everyone. This story has gone viral online but has been debunked by experts.,fake
Secret lab creates weather-controlling machine,Secret lab creates weather-controlling machine. This story has gone viral online but has been debunked by experts.,fake
Scientists confirm Earth is flat,Scientists confirm Earth is flat. This story has gone viral online but has been debunked by experts.,fake
Man claims to time travel using old car,Man claims to time travel using old car. This story has gone viral online but has been debunked by experts.,fake
Man claims to time travel using old car,Man claims to time travel using old car. This story has gone viral online but has been debunked by experts.,fake
Social media post sparks false panic about virus,Social media post sparks false panic about virus. This story has gone viral online but has been debunked by experts.,fake
Local resident finds UFO in backyard,Local resident finds UFO in backyard. This story has gone viral online but has been debunked by experts.,fake
Government hides truth about alien landing,Government hides truth about alien landing. This story has gone viral online but has been debunked by experts.,fake
Secret lab creates weather-controlling machine,Secret lab creates weather-controlling machine. This story has gone viral online but has been debunked by experts.,fake
Fake company promises free money to everyone,Fake company promises free money to everyone. This story has gone viral online but has been debunked by experts.,fake
Social media post sparks false panic about virus,Social media post sparks false panic about virus. This story has gone viral online but has been debunked by experts.,fake
Politician involved in shocking corruption case,Politician involved in shocking corruption case. This story has gone viral online but has been debunked by experts.,fake
Fake company promises free money to everyone,Fake company promises free money to everyone. This story has gone viral online but has been debunked by experts.,fake
Local resident finds UFO in backyard,Local resident finds UFO in backyard. This story has gone viral online but has been debunked by experts.,fake
Miracle cure for cancer discovered overnight,Miracle cure for cancer discovered overnight. This story has gone viral online but has been debunked by experts.,fake
Fake company promises free money to everyone,Fake company promises free money to everyone. This story has gone viral online but has been debunked by experts.,fake
Secret lab creates weather-controlling machine,Secret lab creates weather-controlling machine. This story has gone viral online but has been debunked by experts.,fake
Local resident finds UFO in backyard,Local resident finds UFO in backyard. This story has gone viral online but has been debunked by experts.,fake
Government hides truth about alien landing,Government hides truth about alien landing. This story has gone viral online but has been debunked by experts.,fake
Man claims to time travel using old car,Man claims to time travel using old car. This story has gone viral online but has been debunked by experts.,fake
Miracle cure for cancer discovered overnight,Miracle cure for cancer discovered overnight. This story has gone viral online but has been debunked by experts.,fake
Scientists confirm Earth is flat,Scientists confirm Earth is flat. This story has gone viral online but has been debunked by experts.,fake
Social media post sparks false panic about virus,Social media post sparks false panic about virus. This story has gone viral online but has been debunked by experts.,fake
Local resident finds UFO in backyard,Local resident finds UFO in backyard. This story has gone viral online but has been debunked by experts.,fake
Social media post sparks false panic about virus,Social media post sparks false panic about virus. This story has gone viral online but has been debunked by experts.,fake
Government hides truth about alien landing,Government hides truth about alien landing. This story has gone viral online but has been debunked by experts.,fake
Scientists confirm Earth is flat,Scientists confirm Earth is flat. This story has gone viral online but has been debunked by experts.,fake
Fake company promises free money to everyone,Fake company promises free money to everyone. This story has gone viral online but has been debunked by experts.,fake
Government hides truth about alien landing,Government hides truth about alien landing. This story has gone viral online but has been debunked by experts.,fake
Local resident finds UFO in backyard,Local resident finds UFO in backyard. This story has gone viral online but has been debunked by experts.,fake
Celebrity caught in massive scandal hoax,Celebrity caught in massive scandal hoax. This story has gone viral online but has been debunked by experts.,fake
Local resident finds UFO in backyard,Local resident finds UFO in backyard. This story has gone viral online but has been debunked by experts.,fake
Social media post sparks false panic about virus,Social media post sparks false panic about virus. This story has gone viral online but has been debunked by experts.,fake
Miracle cure for cancer discovered overnight,Miracle cure for cancer discovered overnight. This story has gone viral online but has been debunked by experts.,fake
Man claims to time travel using old car,Man claims to time travel using old car. This story has gone viral online but has been debunked by experts.,fake
Secret lab creates weather-controlling machine,Secret lab creates weather-controlling machine. This story has gone viral online but has been debunked by experts.,fake
Celebrity caught in massive scandal hoax,Celebrity caught in massive scandal hoax. This story has gone viral online but has been debunked by experts.,fake
Scientists confirm Earth is flat,Scientists confirm Earth is flat. This story has gone viral online but has been debunked by experts.,fake
Government hides truth about alien landing,Government hides truth about alien landing. This story has gone viral online but has been debunked by experts.,fake
Man claims to time travel using old car,Man claims to time travel using old car. This story has gone viral online but has been debunked by experts.,fake
Secret lab creates weather-controlling machine,Secret lab creates weather-controlling machine. This story has gone viral online but has been debunked by experts.,fake
Miracle cure for cancer discovered overnight,Miracle cure for cancer discovered overnight. This story has gone viral online but has been debunked by experts.,fake
Celebrity caught in massive scandal hoax,Celebrity caught in massive scandal hoax. This story has gone viral online but has been debunked by experts.,fake
Secret lab creates weather-controlling machine,Secret lab creates weather-controlling machine. This story has gone viral online but has been debunked by experts.,fake
Social media post sparks false panic about virus,Social media post sparks false panic about virus. This story has gone viral online but has been debunked by experts.,fake
Celebrity caught in massive scandal hoax,Celebrity caught in massive scandal hoax. This story has gone viral online but has been debunked by experts.,fake
Celebrity caught in massive scandal hoax,Celebrity caught in massive scandal hoax. This story has gone viral online but has been debunked by experts.,fake
Secret lab creates weather-controlling machine,Secret lab creates weather-controlling machine. This story has gone viral online but has been debunked by experts.,fake
Local resident finds UFO in backyard,Local resident finds UFO in backyard. This story has gone viral online but has been debunked by experts.,fake
Scientists confirm Earth is flat,Scientists confirm Earth is flat. This story has gone viral online but has been debunked by experts.,fake
Local resident finds UFO in backyard,Local resident finds UFO in backyard. This story has gone viral online but has been debunked by experts.,fake
Social media post sparks false panic about virus,Social media post sparks false panic about virus. This story has gone viral online but has been debunked by experts.,fake
Celebrity caught in massive scandal hoax,Celebrity caught in massive scandal hoax. This story has gone viral online but has been debunked by experts.,fake
Man claims to time travel using old car,Man claims to time travel using old car. This story has gone viral online but has been debunked by experts.,fake
Government hides truth about alien landing,Government hides truth about alien landing. This story has gone viral online but has been debunked by experts.,fake
Celebrity caught in massive scandal hoax,Celebrity caught in massive scandal hoax. This story has gone viral online but has been debunked by experts.,fake
Government hides truth about alien landing,Government hides truth about alien landing. This story has gone viral online but has been debunked by experts.,fake
Social media post sparks false panic about virus,Social media post sparks false panic about virus. This story has gone viral online but has been debunked by experts.,fake
Politician involved in shocking corruption case,Politician involved in shocking corruption case. This story has gone viral online but has been debunked by experts.,fake
Man claims to time travel using old car,Man claims to time travel using old car. This story has gone viral online but has been debunked by experts.,fake
Man claims to time travel using old car,Man claims to time travel using old car. This story has gone viral online but has been debunked by experts.,fake
Politician involved in shocking corruption case,Politician involved in shocking corruption case. This story has gone viral online but has been debunked by experts.,fake
Celebrity caught in massive scandal hoax,Celebrity caught in massive scandal hoax. This story has gone viral online but has been debunked by experts.,fake
Politician involved in shocking corruption case,Politician involved in shocking corruption case. This story has gone viral online but has been debunked by experts.,fake
Politician involved in shocking corruption case,Politician involved in shocking corruption case. This story has gone viral online but has been debunked by experts.,fake
Politician involved in shocking corruption case,Politician involved in shocking corruption case. This story has gone viral online but has been debunked by experts.,fake
Celebrity caught in massive scandal hoax,Celebrity caught in massive scandal hoax. This story has gone viral online but has been debunked by experts.,fake
Local resident finds UFO in backyard,Local resident finds UFO in backyard. This story has gone viral online but has been debunked by experts.,fake
Local resident finds UFO in backyard,Local resident finds UFO in backyard. This story has gone viral online but has been debunked by experts.,fake
Local resident finds UFO in backyard,Local resident finds UFO in backyard. This story has gone viral online but has been debunked by experts.,fake
Politician involved in shocking corruption case,Politician involved in shocking corruption case. This story has gone viral online but has been debunked by experts.,fake
Scientists confirm Earth is flat,Scientists confirm Earth is flat. This story has gone viral online but has been debunked by experts.,fake
Celebrity caught in massive scandal hoax,Celebrity caught in massive scandal hoax. This story has gone viral online but has been debunked by experts.,fake
Miracle cure for cancer discovered overnight,Miracle cure for cancer discovered overnight. This story has gone viral online but has been debunked by experts.,fake
Celebrity caught in massive scandal hoax,Celebrity caught in massive scandal hoax. This story has gone viral online but has been debunked by experts.,fake
Government hides truth about alien landing,Government hides truth about alien landing. This story has gone viral online but has been debunked by experts.,fake
Government hides truth about alien landing,Government hides truth about alien landing. This story has gone viral online but has been debunked by experts.,fake
Scientists confirm Earth is flat,Scientists confirm Earth is flat. This story has gone viral online but has been debunked by experts.,fake
Scientists confirm Earth is flat,Scientists confirm Earth is flat. This story has gone viral online but has been debunked by experts.,fake
Local resident finds UFO in backyard,Local resident finds UFO in backyard. This story has gone viral online but has been debunked by experts.,fake
Politician involved in shocking corruption case,Politician involved in shocking corruption case. This story has gone viral online but has been debunked by experts.,fake
Secret lab creates weather-controlling machine,Secret lab creates weather-controlling machine. This story has gone viral online but has been debunked by experts.,fake
Man claims to time travel using old car,Man claims to time travel using old car. This story has gone viral online but has been debunked by experts.,fake
Social media post sparks false panic about virus,Social media post sparks false panic about virus. This story has gone viral online but has been debunked by experts.,fake
Miracle cure for cancer discovered overnight,Miracle cure for cancer discovered overnight. This story has gone viral online but has been debunked by experts.,fake
Politician involved in shocking corruption case,Politician involved in shocking corruption case. This story has gone viral online but has been debunked by experts.,fake
Local resident finds UFO in backyard,Local resident finds UFO in backyard. This story has gone viral online but has been debunked by experts.,fake
Politician involved in shocking corruption case,Politician involved in shocking corruption case. This story has gone viral online but has been debunked by experts.,fake
Scientists confirm Earth is flat,Scientists confirm Earth is flat. This story has gone viral online but has been debunked by experts.,fake
Social media post sparks false panic about virus,Social media post sparks false panic about virus. This story has gone viral online but has been debunked by experts.,fake
Government hides truth about alien landing,Government hides truth about alien landing. This story has gone viral online but has been debunked by experts.,fake
Politician involved in shocking corruption case,Politician involved in shocking corruption case. This story has gone viral online but has been debunked by experts.,fake
Local resident finds UFO in backyard,Local resident finds UFO in backyard. This story has gone viral online but has been debunked by experts.,fake
